"ID","age","race (1=Mexican, 2=Other Hispanic, 3=White, 4=Black, 5=Other)","Income/Poverty Ratio","Sex (1=Male, 2=Female)"
62161,22,3,3.15,1
62162,3,1,0.6,2
62163,14,5,4.07,1
62164,44,3,1.67,2
62165,14,4,0.57,2
62166,9,3,NA,1
62167,0,5,NA,1
62168,6,5,3.48,1
62169,21,5,0.33,1
62170,15,5,5,1
62171,14,1,2.46,1
62172,43,4,2.02,2
62173,2,1,NA,2
62174,80,3,4.3,1
62175,5,3,0.39,1
62176,34,3,5,2
62177,51,5,NA,1
62178,80,3,0.05,1
62179,55,5,5,1
62180,35,3,0.87,1
62181,9,1,0.55,1
62182,75,3,NA,1
62183,6,4,3.6,1
62184,26,4,3.85,1
62185,16,1,NA,1
62186,17,4,0.53,2
62187,9,1,NA,2
62188,2,2,0.78,1
62189,30,5,3.04,2
62190,15,1,0.54,2
62191,70,4,0.9,1
62192,11,1,2.05,2
62193,17,4,1.18,1
62194,9,3,5,2
62195,35,4,2.39,1
62196,1,3,2.22,1
62197,16,4,5,2
62198,7,3,0.61,1
62199,57,3,5,1
62200,42,5,4.07,1
62201,58,5,1.34,2
62202,36,1,2.83,1
62203,8,4,NA,1
62204,9,5,5,2
62205,28,3,5,1
62206,35,3,2.74,2
62207,0,4,1.05,1
62208,38,2,1.53,1
62209,62,1,1.11,2
62210,15,3,5,1
62211,63,1,2.22,2
62212,8,4,NA,2
62213,2,4,0.94,1
62214,22,4,1.41,2
62215,65,3,NA,2
62216,0,3,5,1
62217,77,1,0.97,2
62218,38,4,4.05,2
62219,2,1,0.44,2
62220,31,4,4.92,2
62221,41,4,3.6,2
62222,32,3,5,1
62223,54,5,NA,1
62224,29,2,2.46,2
62225,13,1,4.99,2
62226,80,2,3.64,1
62227,19,3,5,1
62228,50,3,3.15,1
62229,31,3,1.31,2
62230,75,3,1.07,1
62231,48,1,3.92,2
62232,42,3,3.3,2
62233,63,1,0.78,2
62234,23,4,4.89,1
62235,2,3,5,2
62236,61,5,5,1
62237,58,3,2.64,2
62238,0,3,1.85,2
62239,22,2,0.09,2
62240,14,2,3.25,2
62241,2,2,3.45,1
62242,24,3,1.98,1
62243,1,3,5,2
62244,1,1,5,1
62245,8,5,5,1
62246,0,1,NA,2
62247,0,4,1.74,2
62248,65,5,1.2,1
62249,26,3,1.38,2
62250,34,1,5,1
62251,51,5,NA,2
62252,11,1,2.62,2
62253,18,3,5,1
62254,14,4,NA,1
62255,65,3,0.87,1
62256,80,3,1.63,1
62257,2,1,NA,2
62258,47,2,0.93,1
62259,61,4,0.87,1
62260,10,3,5,1
62261,47,2,3.25,1
62262,0,2,0.74,2
62263,2,3,0.61,1
62264,77,3,2.72,1
62265,52,3,1.13,1
62266,64,3,1.79,1
62267,27,3,1.08,2
62268,15,1,0.78,2
62269,29,4,0.1,1
62270,33,2,0.56,2
62271,7,4,1.63,1
62272,9,2,0.64,1
62273,15,5,4.03,2
62274,2,4,0.38,1
62275,41,5,5,2
62276,9,3,5,1
62277,55,3,5,2
62278,72,3,2.51,2
62279,80,4,NA,1
62280,54,4,1.7,2
62281,13,4,0.96,2
62282,57,4,1.7,2
62283,2,1,2.93,1
62284,64,3,2.41,2
62285,17,3,1.31,2
62286,30,4,NA,1
62287,73,4,2.11,2
62288,29,3,2.24,1
62289,71,5,1.07,1
62290,2,4,0,2
62291,56,5,5,1
62292,80,3,5,1
62293,67,3,1.16,1
62294,9,2,0.54,1
62295,69,2,0.79,2
62296,19,4,5,1
62297,43,4,3.67,1
62298,15,3,3.8,1
62299,8,5,NA,1
62300,6,4,4.09,2
62301,23,4,NA,1
62302,51,2,NA,2
62303,76,3,1.62,2
62304,6,1,0.96,2
62305,10,1,2.37,1
62306,0,2,NA,1
62307,61,4,1.2,1
62308,78,3,2.64,2
62309,47,1,0.46,2
62310,8,4,0.1,2
62311,18,3,3.92,1
62312,63,1,1.85,2
62313,7,1,0.76,1
62314,61,4,1.33,1
